,name,dim
232,transformer/decoder_layer_26/moe/linear_v/w,"[8, 6144, 32768]"
233,transformer/decoder_layer_26/multi_head_attention/key/w,"[6144, 1024]"
234,transformer/decoder_layer_26/multi_head_attention/linear/w,"[6144, 6144]"
235,transformer/decoder_layer_26/multi_head_attention/query/w,"[6144, 6144]"
236,transformer/decoder_layer_26/multi_head_attention/value/w,"[6144, 1024]"
237,transformer/decoder_layer_26/rms_norm/scale,[6144]
238,transformer/decoder_layer_26/rms_norm_1/scale,[6144]
239,transformer/decoder_layer_26/rms_norm_2/scale,[6144]
240,transformer/decoder_layer_26/rms_norm_3/scale,[6144]
241,transformer/decoder_layer_26/router/w,"[6144, 8]"
242,transformer/decoder_layer_27/moe/linear/w,"[8, 6144, 32768]"
243,transformer/decoder_layer_27/moe/linear_1/w,"[8, 32768, 6144]"
244,transformer/decoder_layer_27/moe/linear_v/w,"[8, 6144, 32768]"
245,transformer/decoder_layer_27/multi_head_attention/key/w,"[6144, 1024]"
246,transformer/decoder_layer_27/multi_head_attention/linear/w,"[6144, 6144]"
247,transformer/decoder_layer_27/multi_head_attention/query/w,"[6144, 6144]"
248,transformer/decoder_layer_27/multi_head_attention/value/w,"[6144, 1024]"
249,transformer/decoder_layer_27/rms_norm/scale,[6144]
250,transformer/decoder_layer_27/rms_norm_1/scale,[6144]
251,transformer/decoder_layer_27/rms_norm_2/scale,[6144]
252,transformer/decoder_layer_27/rms_norm_3/scale,[6144]
253,transformer/decoder_layer_27/router/w,"[6144, 8]"
254,transformer/decoder_layer_28/moe/linear/w,"[8, 6144, 32768]"
255,transformer/decoder_layer_28/moe/linear_1/w,"[8, 32768, 6144]"
256,transformer/decoder_layer_28/moe/linear_v/w,"[8, 6144, 32768]"
257,transformer/decoder_layer_28/multi_head_attention/key/w,"[6144, 1024]"
258,transformer/decoder_layer_28/multi_head_attention/linear/w,"[6144, 6144]"
259,transformer/decoder_layer_28/multi_head_attention/query/w,"[6144, 6144]"
260,transformer/decoder_layer_28/multi_head_attention/value/w,"[6144, 1024]"
261,transformer/decoder_layer_28/rms_norm/scale,[6144]
262,transformer/decoder_layer_28/rms_norm_1/scale,[6144]
263,transformer/decoder_layer_28/rms_norm_2/scale,[6144]
264,transformer/decoder_layer_28/rms_norm_3/scale,[6144]
265,transformer/decoder_layer_28/router/w,"[6144, 8]"
266,transformer/decoder_layer_29/moe/linear/w,"[8, 6144, 32768]"
267,transformer/decoder_layer_29/moe/linear_1/w,"[8, 32768, 6144]"
268,transformer/decoder_layer_29/moe/linear_v/w,"[8, 6144, 32768]"
269,transformer/decoder_layer_29/multi_head_attention/key/w,"[6144, 1024]"
270,transformer/decoder_layer_29/multi_head_attention/linear/w,"[6144, 6144]"
271,transformer/decoder_layer_29/multi_head_attention/query/w,"[6144, 6144]"
272,transformer/decoder_layer_29/multi_head_attention/value/w,"[6144, 1024]"
273,transformer/decoder_layer_29/rms_norm/scale,[6144]
274,transformer/decoder_layer_29/rms_norm_1/scale,[6144]
275,transformer/decoder_layer_29/rms_norm_2/scale,[6144]
276,transformer/decoder_layer_29/rms_norm_3/scale,[6144]
277,transformer/decoder_layer_29/router/w,"[6144, 8]"
278,transformer/decoder_layer_3/moe/linear/w,"[8, 6144, 32768]"
279,transformer/decoder_layer_3/moe/linear_1/w,"[8, 32768, 6144]"
280,transformer/decoder_layer_3/moe/linear_v/w,"[8, 6144, 32768]"
281,transformer/decoder_layer_3/multi_head_attention/key/w,"[6144, 1024]"
282,transformer/decoder_layer_3/multi_head_attention/linear/w,"[6144, 6144]"
283,transformer/decoder_layer_3/multi_head_attention/query/w,"[6144, 6144]"
284,transformer/decoder_layer_3/multi_head_attention/value/w,"[6144, 1024]"
285,transformer/decoder_layer_3/rms_norm/scale,[6144]
286,transformer/decoder_layer_3/rms_norm_1/scale,[6144]
287,transformer/decoder_layer_3/rms_norm_2/scale,[6144]
288,transformer/decoder_layer_3/rms_norm_3/scale,[6144]
289,transformer/decoder_layer_3/router/w,"[6144, 8]"
290,transformer/decoder_layer_30/moe/linear/w,"[8, 6144, 32768]"
291,transformer/decoder_layer_30/moe/linear_1/w,"[8, 32768, 6144]"
292,transformer/decoder_layer_30/moe/linear_v/w,"[8, 6144, 32768]"
293,transformer/decoder_layer_30/multi_head_attention/key/w,"[6144, 1024]"
294,transformer/decoder_layer_30/multi_head_attention/linear/w,"[6144, 6144]"
295,transformer/decoder_layer_30/multi_head_attention/query/w,"[6144, 6144]"
296,transformer/decoder_layer_30/multi_head_attention/value/w,"[6144, 1024]"
297,transformer/decoder_layer_30/rms_norm/scale,[6144]
298,transformer/decoder_layer_30/rms_norm_1/scale,[6144]
299,transformer/decoder_layer_30/rms_norm_2/scale,[6144]
300,transformer/decoder_layer_30/rms_norm_3/scale,[6144]
301,transformer/decoder_layer_30/router/w,"[6144, 8]"
302,transformer/decoder_layer_31/moe/linear/w,"[8, 6144, 32768]"
303,transformer/decoder_layer_31/moe/linear_1/w,"[8, 32768, 6144]"
304,transformer/decoder_layer_31/moe/linear_v/w,"[8, 6144, 32768]"
305,transformer/decoder_layer_31/multi_head_attention/key/w,"[6144, 1024]"
306,transformer/decoder_layer_31/multi_head_attention/linear/w,"[6144, 6144]"
307,transformer/decoder_layer_31/multi_head_attention/query/w,"[6144, 6144]"
308,transformer/decoder_layer_31/multi_head_attention/value/w,"[6144, 1024]"
309,transformer/decoder_layer_31/rms_norm/scale,[6144]
310,transformer/decoder_layer_31/rms_norm_1/scale,[6144]
311,transformer/decoder_layer_31/rms_norm_2/scale,[6144]
312,transformer/decoder_layer_31/rms_norm_3/scale,[6144]
313,transformer/decoder_layer_31/router/w,"[6144, 8]"
314,transformer/decoder_layer_32/moe/linear/w,"[8, 6144, 32768]"
315,transformer/decoder_layer_32/moe/linear_1/w,"[8, 32768, 6144]"
316,transformer/decoder_layer_32/moe/linear_v/w,"[8, 6144, 32768]"
317,transformer/decoder_layer_32/multi_head_attention/key/w,"[6144, 1024]"
318,transformer/decoder_layer_32/multi_head_attention/linear/w,"[6144, 6144]"
319,transformer/decoder_layer_32/multi_head_attention/query/w,"[6144, 6144]"
